category,agency,account,project,state,amount,origination,requestor_one_full_name,requestor_one_bioguide_id,requestor_one_chamber,requestor_one_party,requestor_two_full_name,requestor_two_bioguide_id,requestor_two_chamber,requestor_two_party,member_state,LES,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","Commerce, Justice, Science, and Related Agencies",Defense,"Energy and Water Development, and Related Agencies",Financial Services and General Government,Homeland Security,"Interior, Environment, and Related Agencies","Labor, Health and Human Services, Education, and Related Agencies","Military Construction, Veterans Affairs, and Related Agencies","Transportation, and Housing and Urban Development, and Related Agencies",Relevant_Committee,party_status_majority
"Energy and Water Development, and Related Agencies",Army Corps of Engineers (Civil),Investigations,"Lower Rio Grande Valley Watershed Assessment, TX",TX,200000.0,H,Filemon Vela,V000132,rep,Democrat,None,None,None,None,TX,0.37374961376190186,0,0,0,0,0,0,0,0,0,0,0,1
"Energy and Water Development, and Related Agencies",Army Corps of Engineers (Civil),Investigations,"Port of Iberia, LA",LA,1200000.0,H,Clay Higgins,H001077,rep,Republican,None,None,None,None,LA,0.6181557774543762,0,0,0,0,1,1,0,0,0,0,0,0
"Energy and Water Development, and Related Agencies",Army Corps of Engineers (Civil),Investigations,"San Francisco Waterfront Storm Damage Reduction Study, CA",CA,200000.0,H,Nancy Pelosi,P000197,rep,Democrat,None,None,None,None,CA,0.10143669694662094,0,0,0,0,0,0,0,0,0,0,0,1
"Energy and Water Development, and Related Agencies",Army Corps of Engineers (Civil),Investigations,"St. Augustine Back Bay, FL",FL,200000.0,H,John H. Rutherford,R000609,rep,Republican,None,None,None,None,FL,0.23660755157470703,0,0,0,0,1,0,0,0,0,0,0,0
"Energy and Water Development, and Related Agencies",Army Corps of Engineers (Civil),Investigations,"Upper Turkey Creek Basin Design, Merriam, KS",KS,500000.0,H,Sharice Davids,D000629,rep,Democrat,None,None,None,None,KS,1.105872392654419,1,0,0,1,0,0,0,1,0,1,1,1
"Energy and Water Development, and Related Agencies",Army Corps of Engineers (Civil),Mississippi River and Tributaries,"Channel Improvement, AR, IL, KY, LA, MS, MO & TN (Tom Lee Park)","AR, IL, KY, LA, MS, MO, TN",3000000.0,H,Steve Cohen,C001068,rep,Democrat,None,None,None,None,TN,1.95920729637146,1,1,0,1,0,0,1,0,0,1,1,1
"Energy and Water Development, and Related Agencies",Army Corps of Engineers (Civil),Mississippi River and Tributaries,Lower Mississippi River Comprehensive Management Study,MS,5000000.0,H,Garret Graves,G000577,rep,Republican,None,None,None,None,LA,1.050789713859558,1,0,0,1,0,0,1,0,0,1,1,0
"Energy and Water Development, and Related Agencies",Army Corps of Engineers (Civil),Operation and Maintenance,"Brown’s Creek, NY",NY,250000.0,H,Andrew R. Garbarino,G000597,rep,Republican,None,None,None,None,NY,0.9460644721984863,0,0,0,0,0,1,0,1,0,0,0,0
"Energy and Water Development, and Related Agencies",Army Corps of Engineers (Civil),Operation and Maintenance,"Burns Waterway Harbor, IN",IN,1561000.0,H,Frank J. Mrvan,M001214,rep,Democrat,None,None,None,None,IN,1.8314827680587769,0,0,0,0,0,0,0,1,1,0,0,1
"Energy and Water Development, and Related Agencies",Army Corps of Engineers (Civil),Operation and Maintenance,"Conneaut Harbor, OH",OH,2764000.0,H,David P. Joyce,J000295,rep,Republican,None,None,None,None,OH,2.012847900390625,0,0,0,0,1,0,0,0,0,0,0,0
"Energy and Water Development, and Related Agencies",Army Corps of Engineers (Civil),Operation and Maintenance,"Fairport Harbor, OH",OH,3880000.0,H,David P. Joyce,J000295,rep,Republican,None,None,None,None,OH,2.012847900390625,0,0,0,0,1,0,0,0,0,0,0,0
"Energy and Water Development, and Related Agencies",Army Corps of Engineers (Civil),Operation and Maintenance,"Houston Ship Channel (DMMP), TX",TX,1500000.0,H,Sheila Jackson Lee,J000032,rep,Democrat,None,None,None,None,TX,2.377021312713623,0,1,0,0,1,1,0,0,0,0,0,1
"Energy and Water Development, and Related Agencies",Army Corps of Engineers (Civil),Operation and Maintenance,"Indiana Harbor, IN",IN,8196000.0,H,Frank J. Mrvan,M001214,rep,Democrat,None,None,None,None,IN,1.8314827680587769,0,0,0,0,0,0,0,1,1,0,0,1
"Energy and Water Development, and Related Agencies",Army Corps of Engineers (Civil),Operation and Maintenance,"Intracoastal Waterway (IWW)— Jacksonville to Miami, FL",FL,6000000.0,H,Brian J. Mast,M001199,rep,Republican,None,None,None,None,FL,0.26395896077156067,1,0,0,1,0,1,0,0,0,1,1,0
"Energy and Water Development, and Related Agencies",Army Corps of Engineers (Civil),Operation and Maintenance,"Intracoastal Waterway (IWW) Caloosahatchee River to Anclote River, FL",FL,2500000.0,H,W. Gregory Steube,S001214,rep,Republican,None,None,None,None,FL,0.6735315918922424,0,1,0,0,0,1,0,0,0,0,0,0
"Energy and Water Development, and Related Agencies",Army Corps of Engineers (Civil),Operation and Maintenance,"Lake Providence Harbor, LA",LA,1332000.0,H,Julia Letlow,L000595,rep,Republican,None,None,None,None,LA,0.20114924013614655,1,0,0,0,0,0,0,1,0,0,0,0
"Energy and Water Development, and Related Agencies",Army Corps of Engineers (Civil),Operation and Maintenance,"Lockwoods Folly River, NC",NC,1050000.0,H,David Rouzer,R000603,rep,Republican,Richard Burr,B001135,sen,Republican,NC,0.5238847136497498,1,0,0,1,0,0,0,0,0,1,1,0
"Energy and Water Development, and Related Agencies",Army Corps of Engineers (Civil),Operation and Maintenance,"Long Island Intracoastal Waterway, NY",NY,8500000.0,H,Lee M. Zeldin,Z000017,rep,Republican,None,None,None,None,NY,0.42858660221099854,0,0,0,0,1,1,0,0,0,0,0,0
"Energy and Water Development, and Related Agencies",Army Corps of Engineers (Civil),Operation and Maintenance,"Maurice River, NJ",NJ,4010000.0,H,Jefferson Van Drew,V000133,rep,Republican,None,None,None,None,NJ,0.46236443519592285,1,0,0,1,0,1,0,0,0,1,1,0
"Energy and Water Development, and Related Agencies",Army Corps of Engineers (Civil),Operation and Maintenance,"Mount St. Helens Sediment Control, WA",WA,918000.0,H,Jaime Herrera Beutler,H001056,rep,Republican,None,None,None,None,WA,0.7637694478034973,0,0,0,0,1,0,0,0,0,0,0,0
"Energy and Water Development, and Related Agencies",Army Corps of Engineers (Civil),Operation and Maintenance,"San Joaquin River (Port of Stockton), CA",CA,5040000.0,H,Jerry McNerney,M001166,rep,Democrat,None,None,None,None,CA,0.9214003086090088,0,1,0,1,0,0,0,0,0,0,1,1
"Energy and Water Development, and Related Agencies",Army Corps of Engineers (Civil),Operation and Maintenance,"Santa Ana River Basin, CA",CA,9072000.0,H,Ken Calvert,C000059,rep,Republican,None,None,None,None,CA,0.40171799063682556,0,0,0,0,1,0,0,0,0,0,0,0
"Energy and Water Development, and Related Agencies",Army Corps of Engineers (Civil),Operation and Maintenance,"Shoal Harbor and Compton Creek, NJ",NJ,8000000.0,H,"Frank Pallone, Jr.",P000034,rep,Democrat,None,None,None,None,NJ,1.5923055410385132,0,1,0,0,0,0,0,0,0,0,0,1
"Energy and Water Development, and Related Agencies",Army Corps of Engineers (Civil),Operation and Maintenance,"St. Lucie Inlet (South Jetty Rehabilitation), FL",FL,4800000.0,H,Brian J. Mast,M001199,rep,Republican,None,None,None,None,FL,0.26395896077156067,1,0,0,1,0,1,0,0,0,1,1,0
"Energy and Water Development, and Related Agencies",Army Corps of Engineers (Civil),Operation and Maintenance,"St. Lucie Inlet, FL",FL,5750000.0,H,Brian J. Mast,M001199,rep,Republican,None,None,None,None,FL,0.26395896077156067,1,0,0,1,0,1,0,0,0,1,1,0
"Energy and Water Development, and Related Agencies",Army Corps of Engineers (Civil),Operation and Maintenance,"St. Patrick’s Creek, MD",MD,2070000.0,H,Steny H. Hoyer,H000874,rep,Democrat,None,None,None,None,MD,0.5856205821037292,0,0,0,0,0,0,0,0,0,0,0,1
"Energy and Water Development, and Related Agencies",Department of the Interior,"Bureau of Reclamation, Water and Related Resources",East to West Conveyance Project (SJR to DMC) Appraisal Study,CA,500000.0,H,Josh Harder,H001090,rep,Democrat,None,None,None,None,CA,0.987672746181488,1,0,0,0,1,0,0,0,0,0,0,1
"Energy and Water Development, and Related Agencies",Department of the Interior,"Bureau of Reclamation, Water and Related Resources",Island Main Lateral Concrete Lining Project,TX,798000.0,H,Tony Gonzales,G000594,rep,Republican,None,None,None,None,TX,0.3907184302806854,0,0,0,0,1,0,0,0,0,0,0,0
"Energy and Water Development, and Related Agencies",Department of the Interior,"Bureau of Reclamation, Water and Related Resources",Navajo-Gallup Water Supply Project,CO,67342000.0,H,Teresa Leger Fernandez,L000273,rep,Democrat,None,None,None,None,NM,1.7930901050567627,0,0,0,0,0,0,1,1,0,0,0,1
"Energy and Water Development, and Related Agencies",Department of the Interior,"Bureau of Reclamation, Water and Related Resources",Salton Sea Research Project,CA,2546000.0,H,Juan Vargas,V000130,rep,Democrat,None,None,None,None,CA,1.313567042350769,0,0,0,0,1,1,0,0,0,0,0,1
"Energy and Water Development, and Related Agencies",Department of Energy,Fossil Energy and Carbon Management,Mercer County Gas Line Extension,WV,2959000.0,S,Shelley Moore Capito,C001047,sen,Republican,None,None,None,None,WV,0.2717813551425934,1,1,0,1,1,0,0,0,0,1,1,0
Financial Services and General Government,General Services Administration,Federal Buildings Fund,South State Street Properties,IL,52000000.0,S,Richard J. Durbin,D000563,sen,Democrat,None,None,None,None,IL,1.782782793045044,1,1,0,0,1,0,0,0,0,0,1,1
Financial Services and General Government,General Services Administration,Federal Buildings Fund,Santa Teresa Land Port of Entry Feasibility Study,NM,500000.0,S,Martin Heinrich,H001046,sen,Democrat,Ben Ray Luján,L000570,sen,Democrat,NM,0.89659184217453,0,0,1,0,1,0,1,0,0,0,1,1
Financial Services and General Government,General Services Administration,Federal Buildings Fund,Dennis DiConcini Land Port of Entry Feasibility Study,AZ,500000.0,S,Mike Kelly,K000376,rep,Republican,Kyrsten Sinema,S001191,sen,Democrat,PA,0.5427906513214111,0,0,0,0,1,0,0,0,0,0,1,0
Financial Services and General Government,General Services Administration,Federal Buildings Fund,Chamblee Campus Feasibility Study,GA,500000.0,S,Raphael G. Warnock,W000790,sen,Democrat,None,None,None,None,GA,0.9862566590309143,1,1,0,0,1,0,0,0,0,1,1,1
Financial Services and General Government,National Archives and Records Administration,National Historical Publications and Records Commission,Wisconsin Historical Society,WI,500000.0,S,Tammy Baldwin,B001230,sen,Democrat,None,None,None,None,WI,0.5059313774108887,0,1,0,0,1,0,0,1,0,0,1,1
Financial Services and General Government,National Archives and Records Administration,National Historical Publications and Records Commission,Planning to Preserve Connecticut’s Digital Government History,CT,948000.0,S,Richard Blumenthal,B001277,sen,Democrat,Christopher Murphy,M001169,sen,Democrat,CT,1.1462339162826538,0,1,1,0,0,0,0,0,1,0,0,1
Financial Services and General Government,National Archives and Records Administration,Repairs and Restoration,Harry S. Truman Presidential Library and Museum,MO,11500000.0,S,Roy Blunt,B000575,sen,Republican,None,None,None,None,MO,0.40726181864738464,0,1,1,0,1,0,0,0,0,0,1,0
Financial Services and General Government,National Archives and Records Administration,National Historical Publications and Records Commission,The State Historical Society of Missouri’s Processing Congressional Papers Project,MO,350000.0,S,Roy Blunt,B000575,sen,Republican,None,None,None,None,MO,0.40726181864738464,0,1,1,0,1,0,0,0,0,0,1,0
Financial Services and General Government,National Archives and Records Administration,National Historical Publications and Records Commission,Telling New Jersey’s Untold Stories,NJ,206000.0,S,Cory A. Booker,B001288,sen,Democrat,None,None,None,None,NJ,0.9123682975769043,1,1,0,0,0,0,0,0,0,0,0,1
Financial Services and General Government,National Archives and Records Administration,Repairs and Restoration,Ulysses S. Grant Presidential Library,MS,20000000.0,S,Cindy Hyde-Smith,H001079,sen,Republican,None,None,None,None,MS,0.02246854454278946,1,0,0,0,1,0,1,0,0,0,1,0
Financial Services and General Government,National Archives and Records Administration,National Historical Publications and Records Commission,Digitization of Historic Michigan Newspapers for Historical and Educational Use,MI,135000.0,S,Gary C. Peters,P000595,sen,Democrat,Debbie Stabenow,S000770,sen,Democrat,MI,6.725162506103516,0,1,1,0,1,0,0,0,1,0,1,1
Financial Services and General Government,National Archives and Records Administration,National Historical Publications and Records Commission,Rhode Island Black Heritage Society,RI,500000.0,S,Jack Reed,R000122,sen,Democrat,None,None,None,None,RI,0.9055533409118652,0,0,1,0,1,0,0,0,1,1,1,1
Financial Services and General Government,National Archives and Records Administration,National Historical Publications and Records Commission,Documenting Nulhegan Abenaki Nation Culture,VT,350000.0,S,Bernard Sanders,S000033,sen,Independent,None,None,None,None,VT,0.19950705766677856,1,0,0,1,1,0,1,1,1,1,1,1
Financial Services and General Government,National Archives and Records Administration,National Historical Publications and Records Commission,Village of Old Brookville Village Hall— Records Digitization,NY,60000.0,S,Charles E. Schumer,S000148,sen,Democrat,None,None,None,None,NY,0.32565510272979736,0,0,1,0,0,0,0,0,0,0,0,1
Financial Services and General Government,National Archives and Records Administration,National Historical Publications and Records Commission,Permanent Exhibition and Memorial on the History of Lynching in Maryland,MD,650000.0,S,Chris Van Hollen,V000128,sen,Democrat,None,None,None,None,MD,0.7227866649627686,0,0,0,0,1,0,0,0,0,1,1,1
Financial Services and General Government,National Archives and Records Administration,National Historical Publications and Records Commission,University of Maryland Eastern Shore Historical Digitalization Project,MD,500000.0,S,Chris Van Hollen,V000128,sen,Democrat,None,None,None,None,MD,0.7227866649627686,0,0,0,0,1,0,0,0,0,1,1,1
Financial Services and General Government,National Archives and Records Administration,National Historical Publications and Records Commission,Historical Archival Indexing of Land Records,GA,1066000.0,S,Raphael G. Warnock,W000790,sen,Democrat,None,None,None,None,GA,0.9862566590309143,1,1,0,0,1,0,0,0,0,1,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Wisconsin SBDC at UW–Milwaukee,WI,95000.0,S,Tammy Baldwin,B001230,sen,Democrat,None,None,None,None,WI,0.5059313774108887,0,1,0,0,1,0,0,1,0,0,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Black Business Alliance,CT,100000.0,S,Richard Blumenthal,B001277,sen,Democrat,Christopher Murphy,M001169,sen,Democrat,CT,1.1462339162826538,0,1,1,0,0,0,0,0,1,0,0,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Quinnipiac University Community Entrepreneurship Academy and Clinic,CT,406000.0,S,Richard Blumenthal,B001277,sen,Democrat,Christopher Murphy,M001169,sen,Democrat,CT,1.1462339162826538,0,1,1,0,0,0,0,0,1,0,0,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Small Business Resource Center in Thompson,CT,240000.0,S,Richard Blumenthal,B001277,sen,Democrat,Christopher Murphy,M001169,sen,Democrat,CT,1.1462339162826538,0,1,1,0,0,0,0,0,1,0,0,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Cape May County Business Development Network,NJ,212000.0,S,Cory A. Booker,B001288,sen,Democrat,Robert Menendez,M000639,sen,Democrat,NJ,0.9123682975769043,1,1,0,0,0,0,0,0,0,0,0,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,City of Lorain-Small Business Community Navigator,OH,250000.0,S,Sherrod Brown,B000944,sen,Democrat,None,None,None,None,OH,1.41644287109375,1,0,0,0,1,0,0,0,1,1,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Columbus College of Arts and Design Center for Creative Career Development,OH,1275000.0,S,Sherrod Brown,B000944,sen,Democrat,None,None,None,None,OH,1.41644287109375,1,0,0,0,1,0,0,0,1,1,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,"United Black Fund of Greater Cleveland, Inc.",OH,500000.0,S,Sherrod Brown,B000944,sen,Democrat,None,None,None,None,OH,1.41644287109375,1,0,0,0,1,0,0,0,1,1,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Outdoor Industry Softlines Prototyping Textiles Lab at the New River Gorge Regional Development Authority,WV,1500000.0,S,Shelley Moore Capito,C001047,sen,Republican,None,None,None,None,WV,0.2717813551425934,1,1,0,1,1,0,0,0,0,1,1,0
Financial Services and General Government,Small Business Administration,Salaries and Expenses,FASTER WV,WV,300000.0,S,Shelley Moore Capito,C001047,sen,Republican,"Joe Manchin, III",M001183,sen,Democrat,WV,0.2717813551425934,1,1,0,1,1,0,0,0,0,1,1,0
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Marshall University Aerospace Manufacturing Training,WV,1000000.0,S,Shelley Moore Capito,C001047,sen,Republican,"Joe Manchin, III",M001183,sen,Democrat,WV,0.2717813551425934,1,1,0,1,1,0,0,0,0,1,1,0
Financial Services and General Government,Small Business Administration,Salaries and Expenses,West Virginia University’s Agribusiness Development Accelerator,WV,570000.0,S,Shelley Moore Capito,C001047,sen,Republican,"Joe Manchin, III",M001183,sen,Democrat,WV,0.2717813551425934,1,1,0,1,1,0,0,0,0,1,1,0
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Bowie Business Innovation Center’s Center of Excellence for 8(a) Government Contracting,MD,3000000.0,S,Benjamin L. Cardin,C000141,sen,Democrat,None,None,None,None,MD,1.5727241039276123,1,0,0,1,1,0,0,0,0,1,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,"University of Maryland, College ParkMaryland Economic Opportunity Center",MD,2250000.0,S,Benjamin L. Cardin,C000141,sen,Democrat,Chris Van Hollen,V000128,sen,Democrat,MD,1.5727241039276123,1,0,0,1,1,0,0,0,0,1,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Building Better Business Districts,DE,1050000.0,S,Thomas R. Carper,C000174,sen,Democrat,Christopher A. Coons,C001088,sen,Democrat,DE,0.8036460876464844,1,0,0,1,1,0,0,0,0,1,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Manufacturing and Training Facility for Furniture Making,DE,500000.0,S,Thomas R. Carper,C000174,sen,Democrat,Christopher A. Coons,C001088,sen,Democrat,DE,0.8036460876464844,1,0,0,1,1,0,0,0,0,1,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,100 Seneca at Cornplanter Square,PA,400000.0,S,"Robert P. Casey, Jr.",C001070,sen,Democrat,None,None,None,None,PA,1.5613142251968384,0,0,1,0,1,0,0,1,0,0,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Hazleton LaunchBox Incubator,PA,200000.0,S,"Robert P. Casey, Jr.",C001070,sen,Democrat,None,None,None,None,PA,1.5613142251968384,0,0,1,0,1,0,0,1,0,0,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Incubator at Cheyney University,PA,400000.0,S,"Robert P. Casey, Jr.",C001070,sen,Democrat,None,None,None,None,PA,1.5613142251968384,0,0,1,0,1,0,0,1,0,0,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Russell House Business & Education Center Project,PA,250000.0,S,"Robert P. Casey, Jr.",C001070,sen,Democrat,None,None,None,None,PA,1.5613142251968384,0,0,1,0,1,0,0,1,0,0,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Shenandoah Innovation Center,PA,350000.0,S,"Robert P. Casey, Jr.",C001070,sen,Democrat,None,None,None,None,PA,1.5613142251968384,0,0,1,0,1,0,0,1,0,0,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,The Enterprise Center CDC,PA,400000.0,S,"Robert P. Casey, Jr.",C001070,sen,Democrat,None,None,None,None,PA,1.5613142251968384,0,0,1,0,1,0,0,1,0,0,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,United Way of Greater Portland Childcare Workforce & Entrepreneurship Initiative,ME,95000.0,S,Susan M. Collins,C001035,sen,Republican,None,None,None,None,ME,0.9127615094184875,0,0,1,0,1,0,0,1,0,0,1,0
Financial Services and General Government,Small Business Administration,Salaries and Expenses,"Business, Agriculture and Rural Development (BARD) Technical Assistance Pipeline",ME,292000.0,S,Susan M. Collins,C001035,sen,Republican,"Angus S. King, Jr.",K000383,sen,Independent,ME,0.9127615094184875,0,0,1,0,1,0,0,1,0,0,1,0
Financial Services and General Government,Small Business Administration,Salaries and Expenses,FocusMaine Catalyzing Business Growth in Maine’s Marine and Agricultural Economy,ME,919000.0,S,Susan M. Collins,C001035,sen,Republican,"Angus S. King, Jr.",K000383,sen,Independent,ME,0.9127615094184875,0,0,1,0,1,0,0,1,0,0,1,0
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Maine’s Entrepreneur Ecosystem Development,ME,747000.0,S,Susan M. Collins,C001035,sen,Republican,"Angus S. King, Jr.",K000383,sen,Independent,ME,0.9127615094184875,0,0,1,0,1,0,0,1,0,0,1,0
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Behavioral Workforce Initiative,IL,300000.0,S,Richard J. Durbin,D000563,sen,Democrat,None,None,None,None,IL,1.782782793045044,1,1,0,0,1,0,0,0,0,0,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Small Business Development Initiative,IL,200000.0,S,Richard J. Durbin,D000563,sen,Democrat,None,None,None,None,IL,1.782782793045044,1,1,0,0,1,0,0,0,0,0,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Workforce Development Initiative,IL,500000.0,S,Richard J. Durbin,D000563,sen,Democrat,None,None,None,None,IL,1.782782793045044,1,1,0,0,1,0,0,0,0,0,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Workforce Training Initiative,IL,600000.0,S,Richard J. Durbin,D000563,sen,Democrat,None,None,None,None,IL,1.782782793045044,1,1,0,0,1,0,0,0,0,0,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Burbank Enhanced Workforce Training for Economic Recovery,CA,250000.0,S,Dianne Feinstein,F000062,sen,Democrat,None,None,None,None,CA,1.1786202192306519,0,1,1,0,1,0,0,0,0,0,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,East Palo Alto Small Business Incubator,CA,555000.0,S,Dianne Feinstein,F000062,sen,Democrat,None,None,None,None,CA,1.1786202192306519,0,1,1,0,1,0,0,0,0,0,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,GMDC Brownsville Industrial Center,NY,2500000.0,S,Yvette D. Clarke,C001067,rep,Democrat,Kirsten E. Gillibrand,G000555,sen,Democrat,NY,0.6838886141777039,0,1,0,0,0,1,0,0,0,0,0,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Brooklyn Business Center,NY,250000.0,S,Kirsten E. Gillibrand,G000555,sen,Democrat,Charles E. Schumer,S000148,sen,Democrat,NY,0.7878498435020447,1,0,1,0,0,0,0,0,1,0,0,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Arrowhead Community Entrepreneurship Program,NM,200000.0,S,Martin Heinrich,H001046,sen,Democrat,Ben Ray Luján,L000570,sen,Democrat,NM,0.89659184217453,0,0,1,0,1,0,1,0,0,0,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Arrowhead Sprint Accelerator,NM,200000.0,S,Martin Heinrich,H001046,sen,Democrat,Ben Ray Luján,L000570,sen,Democrat,NM,0.89659184217453,0,0,1,0,1,0,1,0,0,0,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Native Economic Advancement and Development (NEAD) Initiative,NM,242000.0,S,Martin Heinrich,H001046,sen,Democrat,Ben Ray Luján,L000570,sen,Democrat,NM,0.89659184217453,0,0,1,0,1,0,1,0,0,0,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,NM SBDC—Program to Support Microbusinesses with E-commerce,NM,123000.0,S,Martin Heinrich,H001046,sen,Democrat,Ben Ray Luján,L000570,sen,Democrat,NM,0.89659184217453,0,0,1,0,1,0,1,0,0,0,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,NM SBDC—Spanish Speaking Business Advisor,NM,77000.0,S,Martin Heinrich,H001046,sen,Democrat,Ben Ray Luján,L000570,sen,Democrat,NM,0.89659184217453,0,0,1,0,1,0,1,0,0,0,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,NM SBDC—Technology Commercialization Accelerator (TCA),NM,107000.0,S,Martin Heinrich,H001046,sen,Democrat,Ben Ray Luján,L000570,sen,Democrat,NM,0.89659184217453,0,0,1,0,1,0,1,0,0,0,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Downtown Starkville Innovation and Entrepreneurship Hub,MS,1500000.0,S,Cindy Hyde-Smith,H001079,sen,Republican,None,None,None,None,MS,0.02246854454278946,1,0,0,0,1,0,1,0,0,0,1,0
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Jackson State Small Business Center,MS,2000000.0,S,Cindy Hyde-Smith,H001079,sen,Republican,None,None,None,None,MS,0.02246854454278946,1,0,0,0,1,0,1,0,0,0,1,0
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Vicksburg Downtown Entrepreneurship Hub,MS,650000.0,S,Cindy Hyde-Smith,H001079,sen,Republican,None,None,None,None,MS,0.02246854454278946,1,0,0,0,1,0,1,0,0,0,1,0
Financial Services and General Government,Small Business Administration,Salaries and Expenses,COVID–19 Displaced Worker Initiative,VA,800000.0,S,Tim Kaine,K000384,sen,Democrat,Mark R. Warner,W000805,sen,Democrat,VA,1.1845417022705078,0,0,1,0,1,0,0,1,1,0,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Gulf of Maine Blue Economy,ME,632000.0,S,"Angus S. King, Jr.",K000383,sen,Independent,None,None,None,None,ME,0.6781044602394104,0,0,1,0,0,0,1,0,1,0,0,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Chicago-Lake Business Development,MN,1000000.0,S,Amy Klobuchar,K000367,sen,Democrat,Adam Smith,S000510,rep,Democrat,MN,2.302414894104004,1,1,0,0,0,0,0,0,0,0,0,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Church Street Marketplace Development,VT,1000000.0,S,Patrick J. Leahy,L000174,sen,Democrat,None,None,None,None,VT,0.4219821095466614,1,1,0,0,1,0,0,0,0,0,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Energy and Climate Business Accelerator Program,VT,260000.0,S,Patrick J. Leahy,L000174,sen,Democrat,None,None,None,None,VT,0.4219821095466614,1,1,0,0,1,0,0,0,0,0,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Food Enterprise Center,VT,3000000.0,S,Patrick J. Leahy,L000174,sen,Democrat,None,None,None,None,VT,0.4219821095466614,1,1,0,0,1,0,0,0,0,0,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Hardwick Yellow Barn,VT,925000.0,S,Patrick J. Leahy,L000174,sen,Democrat,None,None,None,None,VT,0.4219821095466614,1,1,0,0,1,0,0,0,0,0,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Production Technical Assistance and Certification Program,VT,637000.0,S,Patrick J. Leahy,L000174,sen,Democrat,None,None,None,None,VT,0.4219821095466614,1,1,0,0,1,0,0,0,0,0,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Program for Innovation and Technology Commercialization,VT,372000.0,S,Patrick J. Leahy,L000174,sen,Democrat,None,None,None,None,VT,0.4219821095466614,1,1,0,0,1,0,0,0,0,0,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,BHCC Enterprise Center for Entrepreneurship and Training (ECET),MA,377000.0,S,Edward J. Markey,M000133,sen,Democrat,Elizabeth Warren,W000817,sen,Democrat,MA,1.438354730606079,1,1,0,1,0,0,0,0,0,1,0,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,Office of Small Business Advocacy,NJ,450000.0,S,Robert Menendez,M000639,sen,Democrat,None,None,None,None,NJ,1.9669333696365356,0,0,0,0,1,0,0,0,0,1,1,1
Financial Services and General Government,Small Business Administration,Salaries and Expenses,BIPOC—Community Chamber Coalition of Oregon Campus,OR,400000.0,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,OR,1.6282490491867065,1,0,0,1,1,0,0,0,0,1,1,1
